Date,Year,Month,Day,Start Time,End Time,Duration,MaxPfu,Region,Location,Flare Maximum (UTC),Type IIRadio Emission,Type IV,Linear Speed,Imagery/Misc
5/1/1976,1976,5,1,21:20,17:00,19:40,12,700,S09W47,"X2/2B  
            4/30 2114",N/A,N/A,N/A,N/A
9/1/1977,1977,9,1,14:30,21:30,7:00,200,889,N08W58,"X2/3B  
        09/19 1054",N/A,N/A,N/A,N/A
2/2/1977,1977,2,2,14:00,18:00,4:00,160,939,N24W38,"X1/2N  
        11/22 1006",N/A,N/A,N/A,N/A
4/1/1978,1978,4,1,9:00,10:00,1:00,850,1001,N22W13,"M7/0B  
        02/13 0255",N/A,N/A,N/A,N/A
1/1/1978,1978,1,1,15:30,16:30,1:00,65,1057,N18W54,"X2/2B  
        0411 1353",N/A,N/A,N/A,N/A
12/3/1977,1978,0,3,4:45,20:00,15:15,"1,000",1092,N22E41,"X5/4B  
        04/28 1306",N/A,N/A,N/A,N/A
7/1/1978,1978,7,1,18:00,18:00,0:00,100,1095,N22W64,"X2/2B  
        05/07 0330",N/A,N/A,N/A,N/A
2/1/1978,1978,2,1,1:00,9:50,8:50,19,1129,N23W50,"M5/2B  
        05/31 1009",N/A,N/A,N/A,N/A
5/2/1978,1978,5,2,18:00,23:00,5:00,25,1164,N19E18,"M2/3B  
        06/22 1709",N/A,N/A,N/A,N/A
3/1/1978,1978,3,1,6:00,10:00,4:00,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4/2/1978,1978,4,2,10:35,16:00,5:25,"2,200",1294,N35W50,"X1/3B  
        09/23 1023",N/A,N/A,N/A,N/A
12/1/1977,1978,0,1,21:30,22:50,1:20,38,1385,N17E02,"M1/2N  
        11/10 0042",N/A,N/A,N/A,N/A
7/1/1979,1979,7,1,20:20,22:50,2:30,31,1574,N15E48,"X2/2B  
        02/16 0200",N/A,N/A,N/A,N/A
3/1/1979,1979,3,1,16:00,23:10,7:10,45,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7/1/1979,1979,7,1,18:50,5:00,10:10,950,1781,N20E16,"X2/1N  
        06/05 0529",N/A,N/A,N/A,N/A
7/1/1979,1979,7,1,15:00,10:10,19:10,50,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1/2/1979,1979,1,2,13:00,2:00,13:00,500,1943,N10E90,"X6/1B  
        08/18 1416",N/A,N/A,N/A,N/A
6/1/1979,1979,6,1,15:00,12:00,21:00,60,1994,N10E90,"X2/N/A 09/14  
        0802",N/A,N/A,N/A,N/A
6/1/1979,1979,6,1,19:00,13:00,18:00,75,2110,N34W25,"M1/0B  
        11/15 1639",N/A,N/A,N/A,N/A
6/1/1980,1980,6,1,13:40,18:50,5:10,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9/1/1980,1980,9,1,23:00,19:30,20:30,100,2562,S12E06,"M3/1B  
        07/17 0603",N/A,N/A,N/A,N/A
12/3/1980,1981,0,3,18:00,21:15,3:15,30,2993,N13W74,"M3/2N  
        03/30 0049",N/A,N/A,N/A,N/A
1/1/1981,1981,1,1,17:45,14:00,20:15,50,3025,N08W38,"X2/3B  
        04/10 1655",N/A,N/A,N/A,N/A
4/2/1981,1981,4,2,15:15,23:30,8:15,160,3049,N18W50,"X5/2B  
        04/24 1400",N/A,N/A,N/A,N/A
